package,version,license,classification,distribution_obligation,source
bytes,1.11.1,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cairo-rs,0.18.5,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cairo-sys-rs,0.18.2,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
camino,1.2.5,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cargo-platform,0.1.9,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cargo_metadata,0.19.2,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cargo_toml,0.22.3,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cc,1.2.57,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cesu8,1.1.0,Apache-2.0/MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cfb,0.7.3,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cfg-expr,0.15.8,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cfg-if,1.0.4,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cfg_aliases,0.2.1,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
chrono,0.4.44,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
clap,4.6.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
clap_builder,4.6.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
clap_derive,4.6.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
clap_lex,1.1.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
colorchoice,1.0.5,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
combine,4.6.8,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
comfy-table,7.2.2,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
console,0.16.3,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cookie,0.18.2,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
core-foundation,0.10.1,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
core-foundation-sys,0.8.7,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
core-graphics,0.25.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
core-graphics-types,0.2.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cpufeatures,0.2.17,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
crc32fast,1.5.1,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
crossbeam-channel,0.5.16,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
crossbeam-utils,0.8.22,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
crossterm,0.29.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
crossterm_winapi,0.9.1,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
crypto-common,0.1.7,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
cssparser,0.36.0,MPL-2.0,WEAK_COPYLEFT_FILE_LEVEL,Preserve MPL notices; make MPL-covered source/modifications available as required.,registry+https://github.com/rust-lang/crates.io-index
cssparser-macros,0.6.1,MPL-2.0,WEAK_COPYLEFT_FILE_LEVEL,Preserve MPL notices; make MPL-covered source/modifications available as required.,registry+https://github.com/rust-lang/crates.io-index
csv,1.4.0,Unlicense/MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
