package,version,source,license,cargo_checksum,classification
futures-io,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,53c0fa8157de1303bfffdaa1cc2a673bfffb60102f76b0ef4441659124373fed,PERMISSIVE_OR_NOTICE
futures-macro,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,9fb9654ba8355388abeb8dcb4fc62f511300867002afc858860463bdd9fe0c44,PERMISSIVE_OR_NOTICE
futures-sink,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,1944426bf7d03f1d14f708785e4b33efd750b36d48a157b836b3efc15ede8e1d,PERMISSIVE_OR_NOTICE
futures-task,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,cd417de3d1d015fc3bfd2b1ea46dfc7bab72ef86f1cc7cc9c78e728b34a6d1fd,PERMISSIVE_OR_NOTICE
futures-util,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,0d50a92467f8ba5dd6e3ee5d4bd04d73ab2e4e1c44474a0674821dfce14b79bc,PERMISSIVE_OR_NOTICE
gdk,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,d9f245958c627ac99d8e529166f9823fb3b838d1d41fd2b297af3075093c2691,PERMISSIVE_OR_NOTICE
gdk-pixbuf,0.18.5,registry+https://github.com/rust-lang/crates.io-index,MIT,50e1f5f1b0bfb830d6ccc8066d18db35c487b1b2b1e8589b5dfe9f07e8defaec,PERMISSIVE_OR_NOTICE
gdk-pixbuf-sys,0.18.0,registry+https://github.com/rust-lang/crates.io-index,MIT,3f9839ea644ed9c97a34d129ad56d38a25e6756f99f3a88e15cd39c20629caf7,PERMISSIVE_OR_NOTICE
gdk-sys,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,5c2d13f38594ac1e66619e188c6d5a1adb98d11b2fcf7894fc416ad76aa2f3f7,PERMISSIVE_OR_NOTICE
gdkwayland-sys,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,140071d506d223f7572b9f09b5e155afbd77428cd5cc7af8f2694c41d98dfe69,PERMISSIVE_OR_NOTICE
gdkx11,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,3caa00e14351bebbc8183b3c36690327eb77c49abc2268dd4bd36b856db3fbfe,PERMISSIVE_OR_NOTICE
gdkx11-sys,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,6e2e7445fe01ac26f11601db260dd8608fe172514eb63b3b5e261ea6b0f4428d,PERMISSIVE_OR_NOTICE
generic-array,0.14.7,registry+https://github.com/rust-lang/crates.io-index,MIT,85649ca51fd72272d7821adaf274ad91c288277713d9c18820d8499a7ff69e9a,PERMISSIVE_OR_NOTICE
getrandom,0.2.17,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,ff2abc00be7fca6ebc474524697ae276ad847ad0a6b3faa4bcb027e9a4614ad0,PERMISSIVE_OR_NOTICE
getrandom,0.3.4,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,899def5c37c4fd7b2664648c28120ecec138e4d395b459e5ca34f9cce2dd77fd,PERMISSIVE_OR_NOTICE
getrandom,0.4.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,0de51e6874e94e7bf76d726fc5d13ba782deca734ff60d5bb2fb2607c7406555,PERMISSIVE_OR_NOTICE
gio,0.18.4,registry+https://github.com/rust-lang/crates.io-index,MIT,d4fc8f532f87b79cbc51a79748f16a6828fb784be93145a322fa14d06d354c73,PERMISSIVE_OR_NOTICE
gio-sys,0.18.1,registry+https://github.com/rust-lang/crates.io-index,MIT,37566df850baf5e4cb0dfb78af2e4b9898d817ed9263d1090a2df958c64737d2,PERMISSIVE_OR_NOTICE
glib,0.18.5,registry+https://github.com/rust-lang/crates.io-index,MIT,233daaf6e83ae6a12a52055f568f9d7cf4671dabb78ff9560ab6da230ce00ee5,PERMISSIVE_OR_NOTICE
glib-macros,0.18.5,registry+https://github.com/rust-lang/crates.io-index,MIT,0bb0228f477c0900c880fd78c8759b95c7636dbd7842707f49e132378aa2acdc,PERMISSIVE_OR_NOTICE
glib-sys,0.18.1,registry+https://github.com/rust-lang/crates.io-index,MIT,063ce2eb6a8d0ea93d2bf8ba1957e78dbab6be1c2220dd3daca57d5a9d869898,PERMISSIVE_OR_NOTICE
glob,0.3.4,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,e4eba85ea1d0a966a983acd07deee566e67395d2d96b6fb39e62b5a833f1eb0b,PERMISSIVE_OR_NOTICE
gobject-sys,0.18.0,registry+https://github.com/rust-lang/crates.io-index,MIT,0850127b514d1c4a4654ead6dedadb18198999985908e6ffe4436f53c785ce44,PERMISSIVE_OR_NOTICE
gtk,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,fd56fb197bfc42bd5d2751f4f017d44ff59fbb58140c6b49f9b3b2bdab08506a,PERMISSIVE_OR_NOTICE
gtk-sys,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,8f29a1c21c59553eb7dd40e918be54dccd60c52b049b75119d5d96ce6b624414,PERMISSIVE_OR_NOTICE
gtk3-macros,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,52ff3c5b21f14f0736fed6dcfc0bfb4225ebf5725f3c0209edeec181e4d73e9d,PERMISSIVE_OR_NOTICE
hashbrown,0.12.3,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,8a9ee70c43aaf417c914396645a0fa852624801b24ebb7ae78fe8272889ac888,PERMISSIVE_OR_NOTICE
hashbrown,0.15.5,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,9229cfe53dfd69f0609a49f65461bd93001ea1ef889cd5529dd176593f5338a1,PERMISSIVE_OR_NOTICE
hashbrown,0.16.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,841d1cc9bed7f9236f321df977030373f4a4163ae1a7dbfe1a51a2c1a51d9100,PERMISSIVE_OR_NOTICE
hashlink,0.11.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,ea0b22561a9c04a7cb1a302c013e0259cd3b4bb619f145b32f72b8b4bcbed230,PERMISSIVE_OR_NOTICE
heck,0.4.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,95505c38b4572b2d910cecb0281560f54b440a19336cbbcb27bf6ce6adc6f5a8,PERMISSIVE_OR_NOTICE
heck,0.5.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,2304e00983f87ffb38b55b444b5e3b60a884b5d30c0fca7d82fe33449bbe55ea,PERMISSIVE_OR_NOTICE
hex,0.4.3,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,7f24254aa9a54b5c858eaee2f5bccdb46aaf0e486a595ed5fd8f86ba55232a70,PERMISSIVE_OR_NOTICE
html5ever,0.38.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,1054432bae2f14e0061e33d23402fbaa67a921d319d56adc6bcf887ddad1cbc2,PERMISSIVE_OR_NOTICE
http,1.5.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,918d3568bebf352712bc2ef3d46a8bcf1a75b373be6539de198e9105cbbf9ce0,PERMISSIVE_OR_NOTICE
http-body,1.1.0,registry+https://github.com/rust-lang/crates.io-index,MIT,ca2a8f2913ee65f60facd6a5905613afaa448497a0230cc41ce022d93290bc2c,PERMISSIVE_OR_NOTICE
http-body-util,0.1.5,registry+https://github.com/rust-lang/crates.io-index,MIT,23169fe34a5fbcdd3f3862e78fb9b6fccd5f02a6dc6f732547005d45631ce71c,PERMISSIVE_OR_NOTICE
httparse,1.10.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,6dbf3de79e51f3d586ab4cb9d5c3e2c14aa28ed23d180cf89b4df0454a69cc87,PERMISSIVE_OR_NOTICE
hyper,1.11.1,registry+https://github.com/rust-lang/crates.io-index,MIT,27b501faa50e7a26c3d3560ca625132f4078a17771f4810baf70475ae48cbe43,PERMISSIVE_OR_NOTICE
hyper-util,0.1.20,registry+https://github.com/rust-lang/crates.io-index,MIT,96547c2556ec9d12fb1578c4eaf448b04993e7fb79cbaad930a656880a6bdfa0,PERMISSIVE_OR_NOTICE
iana-time-zone,0.1.65,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,e31bc9ad994ba00e440a8aa5c9ef0ec67d5cb5e5cb0cc7f8b744a35b389cc470,PERMISSIVE_OR_NOTICE
iana-time-zone-haiku,0.1.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,f31827a206f56af32e590ba56d5d2d085f558508192593743f16b2306495269f,PERMISSIVE_OR_NOTICE
ico,0.5.0,registry+https://github.com/rust-lang/crates.io-index,MIT,3e795dff5605e0f04bff85ca41b51a96b83e80b281e96231bcaaf1ac35103371,PERMISSIVE_OR_NOTICE
icu_collections,2.3.0,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,fa68d21081c4a05d5a901a1c62add574c77048b6a1c67be3b50ce0b60d4ca513,PERMISSIVE_OR_NOTICE
icu_locale_core,2.3.0,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,d56e28588da92eee5c3201a6eff33fabdd49b62269c8938d4ff050ce4d900deb,PERMISSIVE_OR_NOTICE
icu_normalizer,2.3.0,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,12f9cf5f235641ed274641dd81c3f28d870e276763d0797aeeab72317b1c646f,PERMISSIVE_OR_NOTICE
icu_normalizer_data,2.3.0,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,1563da1ed3e0b3bf3d74c9b85917ac9c56464d2f57242270c09c9e752f8021a0,PERMISSIVE_OR_NOTICE
icu_properties,2.3.0,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,7e7ca276ad3145661a65914e6daf131ca5120cd3dcee8f8f3214b8875184a148,PERMISSIVE_OR_NOTICE
icu_properties_data,2.3.0,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,e590f038c1464a96894fd6d10127e90a8be4509f56ff7ecef851b15cee0b7caa,PERMISSIVE_OR_NOTICE
icu_provider,2.3.1,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,d27bbb9d3abbefac45d55f647c9de1d44aafcd1186eb91879afef17c396c3e73,PERMISSIVE_OR_NOTICE
id-arena,2.3.0,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,3d3067d79b975e8844ca9eb072e16b31c3c1c36928edf9c6789548c524d0d954,PERMISSIVE_OR_NOTICE
ident_case,1.0.1,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,b9e0384b61958566e926dc50660321d12159025e767c18e043daf26b70104c39,PERMISSIVE_OR_NOTICE
idna,1.1.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,3b0875f23caa03898994f6ddc501886a45c7d3d62d04d2d90788d47be1b1e4de,PERMISSIVE_OR_NOTICE
idna_adapter,1.2.2,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,cb68373c0d6620ef8105e855e7745e18b0d00d3bdb07fb532e434244cdb9a714,PERMISSIVE_OR_NOTICE
indexmap,1.9.3,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,bd070e393353796e801d209ad339e89596eb4c8d430d18ede6a1cced8fafbd99,PERMISSIVE_OR_NOTICE
indexmap,2.13.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,7714e70437a7dc3ac8eb7e6f8df75fd8eb422675fc7678aff7364301092b1017,PERMISSIVE_OR_NOTICE
infer,0.19.0,registry+https://github.com/rust-lang/crates.io-index,MIT,a588916bfdfd92e71cacef98a63d9b1f0d74d6599980d11894290e7ddefffcf7,PERMISSIVE_OR_NOTICE
ipnet,2.12.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,6a756c3fac73139e83f14c2d742155dd2b78d3ee56597b419a0579b7bdd6dd78,PERMISSIVE_OR_NOTICE
is_terminal_polyfill,1.70.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,a6cb138bb79a146c1bd460005623e142ef0181e3d0219cb493e02f7d08a35695,PERMISSIVE_OR_NOTICE
itoa,1.0.17,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,92ecc6618181def0457392ccd0ee51198e065e016d1d527a7ac1b6dc7c1f09d2,PERMISSIVE_OR_NOTICE
javascriptcore-rs,1.1.2,registry+https://github.com/rust-lang/crates.io-index,MIT,ca5671e9ffce8ffba57afc24070e906da7fc4b1ba66f2cabebf61bf2ea257fcc,PERMISSIVE_OR_NOTICE
javascriptcore-rs-sys,1.1.1,registry+https://github.com/rust-lang/crates.io-index,MIT,af1be78d14ffa4b75b66df31840478fef72b51f8c2465d4ca7c194da9f7a5124,PERMISSIVE_OR_NOTICE
jiff,0.2.35,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,668b7183bd07af9a4885f5c35b0cc5c83c4607a913c16b7e17291832910d2dcc,PERMISSIVE_OR_NOTICE
jiff-core,0.1.0,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,7feca88439efe53da3754500c1851dedf3cb36c524dd5cf8225cc0794de95d09,PERMISSIVE_OR_NOTICE
jiff-static,0.2.35,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,3a69dcb3a21cfb32ce1cd056169337ca284af0766dd766e7878819b251a49204,PERMISSIVE_OR_NOTICE
jiff-tzdb,0.1.8,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,142bd39932ad231f10513df9ab62661fead8719872150b7ad02a2df79f4e141e,PERMISSIVE_OR_NOTICE
jiff-tzdb-platform,0.1.3,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,875a5a69ac2bab1a891711cf5eccbec1ce0341ea805560dcd90b7a2e925132e8,PERMISSIVE_OR_NOTICE
jni,0.21.1,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,1a87aa2bb7d2af34197c04845522473242e1aa17c12f4935d5856491a7fb8c97,PERMISSIVE_OR_NOTICE
jni-sys,0.3.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,41a652e1f9b6e0275df1f15b32661cf0d4b78d4d87ddec5e0c3c20f097433258,PERMISSIVE_OR_NOTICE
jni-sys,0.4.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,c6377a88cb3910bee9b0fa88d4f42e1d2da8e79915598f65fb0c7ee14c878af2,PERMISSIVE_OR_NOTICE
jni-sys-macros,0.4.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,38c0b942f458fe50cdac086d2f946512305e5631e720728f2a61aabcd47a6264,PERMISSIVE_OR_NOTICE
js-sys,0.3.91,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,b49715b7073f385ba4bc528e5747d02e66cb39c6146efb66b781f131f0fb399c,PERMISSIVE_OR_NOTICE
json-patch,3.0.1,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,863726d7afb6bc2590eeff7135d923545e5e964f004c2ccf8716c25e70a86f08,PERMISSIVE_OR_NOTICE
jsonptr,0.6.3,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,5dea2b27dd239b2556ed7a25ba842fe47fd602e7fc7433c2a8d6106d4d9edd70,PERMISSIVE_OR_NOTICE
keyboard-types,0.7.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,b750dcadc39a09dbadd74e118f6dd6598df77fa01df0cfcdc52c28dece74528a,PERMISSIVE_OR_NOTICE
leb128fmt,0.1.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,09edd9e8b54e49e587e4f6295a7d29c3ea94d469cb40ab8ca70b288248a81db2,PERMISSIVE_OR_NOTICE
libappindicator,0.9.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,03589b9607c868cc7ae54c0b2a22c8dc03dd41692d48f2d7df73615c6a95dc0a,PERMISSIVE_OR_NOTICE
libappindicator-sys,0.9.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,6e9ec52138abedcc58dc17a7c6c0c00a2bdb4f3427c7f63fa97fd0d859155caf,PERMISSIVE_OR_NOTICE
libc,0.2.183,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,b5b646652bf6661599e1da8901b3b9522896f01e736bad5f723fe7a3a27f899d,PERMISSIVE_OR_NOTICE
libdbus-sys,0.2.7,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0/MIT,328c4789d42200f1eeec05bd86c9c13c7f091d2ba9a6ea35acdf51f31bc0f043,PERMISSIVE_OR_NOTICE
libloading,0.7.4,registry+https://github.com/rust-lang/crates.io-index,ISC,b67380fd3b2fbe7527a606e18729d21c6f3951633d0500574c4dc22d2d638b9f,PERMISSIVE_OR_NOTICE
libredox,0.1.23,registry+https://github.com/rust-lang/crates.io-index,MIT,8d8f1ea3f21fd3405dcaf6c9b5c1630af9afc422d9073ea39c5f6d6c772e08ed,PERMISSIVE_OR_NOTICE
libsqlite3-sys,0.37.0,registry+https://github.com/rust-lang/crates.io-index,MIT,b1f111c8c41e7c61a49cd34e44c7619462967221a6443b0ec299e0ac30cfb9b1,PERMISSIVE_OR_NOTICE
linux-raw-sys,0.12.1,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,32a66949e030da00e8c7d4434b251670a91556f4144941d37452769c25d58a53,PERMISSIVE_OR_NOTICE
litemap,0.8.3,registry+https://github.com/rust-lang/crates.io-index,Unicode-3.0,47d9d19d1d6efa0109d2f65ff4c85cddd50bd572e5a00127ab10987290bcefae,PERMISSIVE_OR_NOTICE
litrs,1.0.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,11d3d7f243d5c5a8b9bb5d6dd2b1602c0cb0b9db1621bafc7ed66e35ff9fe092,PERMISSIVE_OR_NOTICE
lock_api,0.4.14,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,224399e74b87b5f3557511d98dff8b14089b3dadafcab6bb93eab67d3aace965,PERMISSIVE_OR_NOTICE
log,0.4.29,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,5e5032e24019045c762d3c0f28f5b6b8bbf38563a65908389bf7978758920897,PERMISSIVE_OR_NOTICE
markup5ever,0.38.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,8983d30f2915feeaaab2d6babdd6bc7e9ed1a00b66b5e6d74df19aa9c0e91862,PERMISSIVE_OR_NOTICE
memchr,2.8.0,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,f8ca58f447f06ed17d5fc4043ce1b10dd205e060fb3ce5b979b8ed8e59ff3f79,PERMISSIVE_OR_NOTICE
memoffset,0.9.1,registry+https://github.com/rust-lang/crates.io-index,MIT,488016bfae457b036d996092f6cb448677611ce4449e970ceaf42695203f218a,PERMISSIVE_OR_NOTICE
mime,0.3.17,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,6877bb514081ee2a7ff5ef9de3281f14a4dd4bceac4c09388074a6b5df8a139a,PERMISSIVE_OR_NOTICE
minimal-lexical,0.2.1,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,68354c5c6bd36d73ff3feceb05efa59b6acb7626617f4962be322a825e61f79a,PERMISSIVE_OR_NOTICE
miniz_oxide,0.8.9,registry+https://github.com/rust-lang/crates.io-index,MIT OR Zlib OR Apache-2.0,1fa76a2c86f704bdb222d66965fb3d63269ce38518b83cb0575fca855ebb6316,PERMISSIVE_OR_NOTICE
miniz_oxide,0.9.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Zlib OR Apache-2.0,b63fbc4a50860e98e7b2aa7804ded1db5cbc3aff9193adaff57a6931bf7c4b4c,PERMISSIVE_OR_NOTICE
mio,1.2.3,registry+https://github.com/rust-lang/crates.io-index,MIT,4b18443e9c262bfe8fa82f51666e2642c53393f7e5c27b3e1aeab922cff5b9d8,PERMISSIVE_OR_NOTICE
muda,0.19.3,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,1dd04e60bc0b07438a6771710ee1698f98f6ebbc7f89b61264af1563b8aeb878,PERMISSIVE_OR_NOTICE
ndk,0.9.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,c3f42e7bbe13d351b6bead8286a43aac9534b82bd3cc43e47037f012ebfd62d4,PERMISSIVE_OR_NOTICE
ndk-sys,0.6.0+11769913,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,ee6cda3051665f1fb8d9e08fc35c96d5a244fb1be711a03b71118828afc9a873,PERMISSIVE_OR_NOTICE
new_debug_unreachable,1.0.6,registry+https://github.com/rust-lang/crates.io-index,MIT,650eef8c711430f1a879fdd01d4745a7deea475becfb90269c06775983bbf086,PERMISSIVE_OR_NOTICE
nom,7.1.3,registry+https://github.com/rust-lang/crates.io-index,MIT,d273983c5a657a70a3e8f2a01329822f3b8c8172b73826411a55751e404a0a4a,PERMISSIVE_OR_NOTICE
num-conv,0.2.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,cf97ec579c3c42f953ef76dbf8d55ac91fb219dde70e49aa4a6b7d74e9919050,PERMISSIVE_OR_NOTICE
num-traits,0.2.19,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,071dfc062690e90b734c0b2273ce72ad0ffa95f0c74596bc250dcfd960262841,PERMISSIVE_OR_NOTICE
num_enum,0.7.6,registry+https://github.com/rust-lang/crates.io-index,BSD-3-Clause OR MIT OR Apache-2.0,5d0bca838442ec211fa11de3a8b0e0e8f3a4522575b5c4c06ed722e005036f26,PERMISSIVE_OR_NOTICE
num_enum_derive,0.7.6,registry+https://github.com/rust-lang/crates.io-index,BSD-3-Clause OR MIT OR Apache-2.0,680998035259dcfcafe653688bf2aa6d3e2dc05e98be6ab46afb089dc84f1df8,PERMISSIVE_OR_NOTICE
objc2,0.6.4,registry+https://github.com/rust-lang/crates.io-index,MIT,3a12a8ed07aefc768292f076dc3ac8c48f3781c8f2d5851dd3d98950e8c5a89f,PERMISSIVE_OR_NOTICE
objc2-app-kit,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,d49e936b501e5c5bf01fda3a9452ff86dc3ea98ad5f283e1455153142d97518c,PERMISSIVE_OR_NOTICE
objc2-cloud-kit,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,73ad74d880bb43877038da939b7427bba67e9dd42004a18b809ba7d87cee241c,PERMISSIVE_OR_NOTICE
objc2-core-data,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,0b402a653efbb5e82ce4df10683b6b28027616a2715e90009947d50b8dd298fa,PERMISSIVE_OR_NOTICE
objc2-core-foundation,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,2a180dd8642fa45cdb7dd721cd4c11b1cadd4929ce112ebd8b9f5803cc79d536,PERMISSIVE_OR_NOTICE
objc2-core-graphics,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,e022c9d066895efa1345f8e33e584b9f958da2fd4cd116792e15e07e4720a807,PERMISSIVE_OR_NOTICE
objc2-core-image,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,e5d563b38d2b97209f8e861173de434bd0214cf020e3423a52624cd1d989f006,PERMISSIVE_OR_NOTICE
objc2-core-location,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,ca347214e24bc973fc025fd0d36ebb179ff30536ed1f80252706db19ee452009,PERMISSIVE_OR_NOTICE
objc2-core-text,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,0cde0dfb48d25d2b4862161a4d5fcc0e3c24367869ad306b0c9ec0073bfed92d,PERMISSIVE_OR_NOTICE
objc2-encode,4.1.0,registry+https://github.com/rust-lang/crates.io-index,MIT,ef25abbcd74fb2609453eb695bd2f860d389e457f67dc17cafc8b8cbc89d0c33,PERMISSIVE_OR_NOTICE
objc2-exception-helper,0.1.1,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,c7a1c5fbb72d7735b076bb47b578523aedc40f3c439bea6dfd595c089d79d98a,PERMISSIVE_OR_NOTICE
objc2-foundation,0.3.2,registry+https://github.com/rust-lang/crates.io-index,MIT,e3e0adef53c21f888deb4fa59fc59f7eb17404926ee8a6f59f5df0fd7f9f3272,PERMISSIVE_OR_NOTICE
objc2-io-surface,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,180788110936d59bab6bd83b6060ffdfffb3b922ba1396b312ae795e1de9d81d,PERMISSIVE_OR_NOTICE
objc2-quartz-core,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,96c1358452b371bf9f104e21ec536d37a650eb10f7ee379fff67d2e08d537f1f,PERMISSIVE_OR_NOTICE
objc2-ui-kit,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,d87d638e33c06f577498cbcc50491496a3ed4246998a7fbba7ccb98b1e7eab22,PERMISSIVE_OR_NOTICE
objc2-user-notifications,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,9df9128cbbfef73cda168416ccf7f837b62737d748333bfe9ab71c245d76613e,PERMISSIVE_OR_NOTICE
objc2-web-kit,0.3.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,b2e5aaab980c433cf470df9d7af96a7b46a9d892d521a2cbbb2f8a4c16751e7f,PERMISSIVE_OR_NOTICE
ofx-rs,0.2.0,registry+https://github.com/rust-lang/crates.io-index,MIT,e2a8200cbd088af447f7e812d6394bfca752e55c91ec5132a01e41304bbe03a9,PERMISSIVE_OR_NOTICE
once_cell,1.21.4,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,9f7c3e4beb33f85d45ae3e3a1792185706c8e16d043238c593331cc7cd313b50,PERMISSIVE_OR_NOTICE
once_cell_polyfill,1.70.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,384b8ab6d37215f3c5301a95a4accb5d64aa607f1fcb26a11b5303878451b4fe,PERMISSIVE_OR_NOTICE
openssl-src,300.5.4+3.5.4,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,a507b3792995dae9b0df8a1c1e3771e8418b7c2d9f0baeba32e6fe8b06c7cb72,PERMISSIVE_OR_NOTICE
openssl-sys,0.9.112,registry+https://github.com/rust-lang/crates.io-index,MIT,57d55af3b3e226502be1526dfdba67ab0e9c96fc293004e79576b2b9edb0dbdb,PERMISSIVE_OR_NOTICE
option-ext,0.2.0,registry+https://github.com/rust-lang/crates.io-index,MPL-2.0,04744f49eae99ab78e0d5c0b603ab218f515ea8cfe5a456d7629ad883a3b6e7d,WEAK_COPYLEFT_FILE_LEVEL
pango,0.18.3,registry+https://github.com/rust-lang/crates.io-index,MIT,7ca27ec1eb0457ab26f3036ea52229edbdb74dee1edd29063f5b9b010e7ebee4,PERMISSIVE_OR_NOTICE
pango-sys,0.18.0,registry+https://github.com/rust-lang/crates.io-index,MIT,436737e391a843e5933d6d9aa102cb126d501e815b83601365a948a518555dc5,PERMISSIVE_OR_NOTICE
