package,version,source,license,cargo_checksum,classification
borsh-derive,1.6.1,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0,bfcfdc083699101d5a7965e49925975f2f55060f94f9a05e7187be95d530ca59,PERMISSIVE_OR_NOTICE
brotli,8.0.4,registry+https://github.com/rust-lang/crates.io-index,BSD-3-Clause AND MIT,5cc91aac060a7a1e25823bdccbfb6af1875b88f17c6daac97894eed8207166b3,PERMISSIVE_OR_NOTICE
brotli-decompressor,5.0.3,registry+https://github.com/rust-lang/crates.io-index,BSD-3-Clause/MIT,3a32acac15fe1967bc3986b2a6347dffc965602354ea6f450ad07e8bfd253583,PERMISSIVE_OR_NOTICE
bs58,0.5.1,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,bf88ba1141d185c399bee5288d850d63b8369520c1eafc32a0430b5b6c287bf4,PERMISSIVE_OR_NOTICE
bumpalo,3.20.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,5d20789868f4b01b2f2caec9f5c4e0213b41e3e5702a50157d699ae31ced2fcb,PERMISSIVE_OR_NOTICE
bytecheck,0.6.12,registry+https://github.com/rust-lang/crates.io-index,MIT,23cdc57ce23ac53c931e88a43d06d070a6fd142f2617be5855eb75efc9beb1c2,PERMISSIVE_OR_NOTICE
bytecheck_derive,0.6.12,registry+https://github.com/rust-lang/crates.io-index,MIT,3db406d29fbcd95542e92559bed4d8ad92636d1ca8b3b72ede10b4bcc010e659,PERMISSIVE_OR_NOTICE
bytemuck,1.25.2,registry+https://github.com/rust-lang/crates.io-index,Zlib OR Apache-2.0 OR MIT,95832e849adfb21180ccb6826a99da14e5d266ae5c2e668e1602cf234f153797,PERMISSIVE_OR_NOTICE
byteorder,1.5.0,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,1fd0f2584146f6f2ef48085050886acf353beff7305ebd1ae69500e27c67f64b,PERMISSIVE_OR_NOTICE
bytes,1.11.1,registry+https://github.com/rust-lang/crates.io-index,MIT,1e748733b7cbc798e1434b6ac524f0c1ff2ab456fe201501e6497c8417a4fc33,PERMISSIVE_OR_NOTICE
cairo-rs,0.18.5,registry+https://github.com/rust-lang/crates.io-index,MIT,8ca26ef0159422fb77631dc9d17b102f253b876fe1586b03b803e63a309b4ee2,PERMISSIVE_OR_NOTICE
cairo-sys-rs,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT,685c9fa8e590b8b3d678873528d83411db17242a73fccaed827770ea0fedda51,PERMISSIVE_OR_NOTICE
camino,1.2.5,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,bb1307f12aa967b5a58416e87b3653360e0fd614a016b6e970db08fecbb1b80d,PERMISSIVE_OR_NOTICE
cargo-platform,0.1.9,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,e35af189006b9c0f00a064685c727031e3ed2d8020f7ba284d78cc2671bd36ea,PERMISSIVE_OR_NOTICE
cargo_metadata,0.19.2,registry+https://github.com/rust-lang/crates.io-index,MIT,dd5eb614ed4c27c5d706420e4320fbe3216ab31fa1c33cd8246ac36dae4479ba,PERMISSIVE_OR_NOTICE
cargo_toml,0.22.3,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,374b7c592d9c00c1f4972ea58390ac6b18cbb6ab79011f3bdc90a0b82ca06b77,PERMISSIVE_OR_NOTICE
cc,1.2.57,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,7a0dd1ca384932ff3641c8718a02769f1698e7563dc6974ffd03346116310423,PERMISSIVE_OR_NOTICE
cesu8,1.1.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0/MIT,6d43a04d8753f35258c91f8ec639f792891f748a1edbd759cf1dcea3382ad83c,PERMISSIVE_OR_NOTICE
cfb,0.7.3,registry+https://github.com/rust-lang/crates.io-index,MIT,d38f2da7a0a2c4ccf0065be06397cc26a81f4e528be095826eee9d4adbb8c60f,PERMISSIVE_OR_NOTICE
cfg-expr,0.15.8,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,d067ad48b8650848b989a59a86c6c36a995d02d2bf778d45c3c5d57bc2718f02,PERMISSIVE_OR_NOTICE
cfg-if,1.0.4,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801,PERMISSIVE_OR_NOTICE
cfg_aliases,0.2.1,registry+https://github.com/rust-lang/crates.io-index,MIT,613afe47fcd5fac7ccf1db93babcb082c5994d996f20b8b159f2ad1658eb5724,PERMISSIVE_OR_NOTICE
